plate,well,location,coating,sample_strain,sample_id,OD
p1,b2,p1b2,0.01_FBS,LAC,wt,0.2515999973
p1,b3,p1b3,0.01_FBS,LAC,agrA_C123F,1.2479000092
p1,b4,p1b4,0.01_FBS,LAC,atl_KO,0.2578000128
p1,b5,p1b5,0.01_FBS,LAC,icaA_KO,0.4286000133
p1,b6,p1b6,0.01_FBS,LAC,srtA_KO,0.1806000024
p1,b7,p1b7,0.01_FBS,epi,wt,0.7710999846
p1,b8,p1b8,0.01_FBS,22251,wt,0.5078999996
p1,b9,p1b9,0.01_FBS,Newman,wt,0.2896000147
p1,b10,p1b10,0.01_FBS,Newman,agrA_KO,0.5472999811
p1,b11,p1b11,0.01_FBS,empty,,0.137500003
p1,c2,p1c2,0.01_FBS,LAC,wt,0.3508999944
p1,c3,p1c3,0.01_FBS,LAC,agrA_C123F,1.2312999964
p1,c4,p1c4,0.01_FBS,LAC,atl_KO,0.170599997
p1,c5,p1c5,0.01_FBS,LAC,icaA_KO,0.274300009
p1,c6,p1c6,0.01_FBS,LAC,srtA_KO,0.206400007
p1,c7,p1c7,0.01_FBS,epi,wt,0.3883000016
p1,c8,p1c8,0.01_FBS,22251,wt,0.5637000203
p1,c9,p1c9,0.01_FBS,Newman,wt,0.2883000076
p1,c10,p1c10,0.01_FBS,Newman,agrA_KO,0.6640999913
p1,c11,p1c11,0.01_FBS,empty,,0.243599996
p1,d2,p1d2,0.01_FBS,LAC,wt,0.3346999884
p1,d3,p1d3,0.01_FBS,LAC,agrA_C123F,1.3891999722
p1,d4,p1d4,0.01_FBS,LAC,atl_KO,0.1861000061
p1,d5,p1d5,0.01_FBS,LAC,icaA_KO,0.329400003
p1,d6,p1d6,0.01_FBS,LAC,srtA_KO,0.2107000053
p1,d7,p1d7,0.01_FBS,epi,wt,0.3722000122
p1,d8,p1d8,0.01_FBS,22251,wt,0.4957000017
p1,d9,p1d9,0.01_FBS,Newman,wt,0.2757000029
p1,d10,p1d10,0.01_FBS,Newman,agrA_KO,0.7148000002
p1,d11,p1d11,0.01_FBS,empty,,0.1384000033
p1,e2,p1e2,0.01_FBS,LAC,wt,0.4153000116
p1,e3,p1e3,0.01_FBS,LAC,agrA_C123F,1.8090000153
p1,e4,p1e4,0.01_FBS,LAC,atl_KO,0.1994999945
p1,e5,p1e5,0.01_FBS,LAC,icaA_KO,0.3305999935
p1,e6,p1e6,0.01_FBS,LAC,srtA_KO,0.2075999975
p1,e7,p1e7,0.01_FBS,epi,wt,0.4420000017
p1,e8,p1e8,0.01_FBS,22251,wt,0.5180000067
p1,e9,p1e9,0.01_FBS,Newman,wt,0.3027000129
p1,e10,p1e10,0.01_FBS,Newman,agrA_KO,1.1926000118
p1,e11,p1e11,0.01_FBS,empty,,0.1340000033
p1,f2,p1f2,0.01_FBS,LAC,wt,0.3707000017
p1,f3,p1f3,0.01_FBS,LAC,agrA_C123F,1.212299943
p1,f4,p1f4,0.01_FBS,LAC,atl_KO,0.1699000001
p1,f5,p1f5,0.01_FBS,LAC,icaA_KO,0.3664000034
p1,f6,p1f6,0.01_FBS,LAC,srtA_KO,0.2170999944
p1,f7,p1f7,0.01_FBS,epi,wt,0.4557000101
p1,f8,p1f8,0.01_FBS,22251,wt,0.5543000102
p1,f9,p1f9,0.01_FBS,Newman,wt,0.3106999993
p1,f10,p1f10,0.01_FBS,Newman,agrA_KO,0.5842999816
p1,f11,p1f11,0.01_FBS,empty,,0.1405999959
