plate,well,location,coating,fixation,media,dilution,sample_strain,sample_id,OD
p1,b1,p1b1,,60C,0.5_glu,1,LAC,wt,2.8975000381
p1,b2,p1b2,,60C,0.5_glu,1,LAC,agrA_C123F_empty,3.1354000568
p1,b3,p1b3,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,3.0641000271
p1,b4,p1b4,,60C,0.5_glu,1,LAC,atl_KO_empty,2.0376000404
p1,b5,p1b5,,60C,0.5_glu,1,LAC,atl_KO_comp,2.2792999744
p1,b6,p1b6,,60C,0.5_glu,1,LAC,wt,2.4214999676
p1,b7,p1b7,,60C,0.5_glu,1,LAC,agrA_C123F_empty,2.8508000374
p1,b8,p1b8,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.5919001102
p1,b9,p1b9,,60C,0.5_glu,1,LAC,atl_KO_empty,1.7057000399
p1,b10,p1b10,,60C,0.5_glu,1,LAC,atl_KO_comp,2.9066998959
p1,b11,p1b11,,60C,0.5_glu,1,LAC,empty,0.2101999968
p1,c1,p1c1,,60C,0.5_glu,1,LAC,wt,2.928800106
p1,c2,p1c2,,60C,0.5_glu,1,LAC,agrA_C123F_empty,2.9168999195
p1,c3,p1c3,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.5843999386
p1,c4,p1c4,,60C,0.5_glu,1,LAC,atl_KO_empty,1.8152999878
p1,c5,p1c5,,60C,0.5_glu,1,LAC,atl_KO_comp,2.6614999771
p1,c6,p1c6,,60C,0.5_glu,1,LAC,wt,2.3271000385
p1,c7,p1c7,,60C,0.5_glu,1,LAC,agrA_C123F_empty,2.7348999977
p1,c8,p1c8,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.9335000515
p1,c9,p1c9,,60C,0.5_glu,1,LAC,atl_KO_empty,1.966899991
p1,c10,p1c10,,60C,0.5_glu,1,LAC,atl_KO_comp,2.837100029
p1,c11,p1c11,,60C,0.5_glu,1,LAC,empty,0.147300005
p1,d1,p1d1,,60C,0.5_glu,1,LAC,wt,2.7578001022
p1,d2,p1d2,,60C,0.5_glu,1,LAC,agrA_C123F_empty,2.8062000275
p1,d3,p1d3,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.5023999214
p1,d4,p1d4,,60C,0.5_glu,1,LAC,atl_KO_empty,1.7467999458
p1,d5,p1d5,,60C,0.5_glu,1,LAC,atl_KO_comp,2.42689991
p1,d6,p1d6,,60C,0.5_glu,1,LAC,wt,2.2537999153
p1,d7,p1d7,,60C,0.5_glu,1,LAC,agrA_C123F_empty,3.1019999981
p1,d8,p1d8,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.8592000008
p1,d9,p1d9,,60C,0.5_glu,1,LAC,atl_KO_empty,1.8295999765
p1,d10,p1d10,,60C,0.5_glu,1,LAC,atl_KO_comp,2.8194000721
p1,d11,p1d11,,60C,0.5_glu,1,LAC,empty,0.1580000073
p1,e1,p1e1,,60C,0.5_glu,1,LAC,wt,2.9444000721
p1,e2,p1e2,,60C,0.5_glu,1,LAC,agrA_C123F_empty,2.7218000889
p1,e3,p1e3,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.4621999264
p1,e4,p1e4,,60C,0.5_glu,1,LAC,atl_KO_empty,1.6346999407
p1,e5,p1e5,,60C,0.5_glu,1,LAC,atl_KO_comp,2.9769999981
p1,e6,p1e6,,60C,0.5_glu,1,LAC,wt,2.3677999973
p1,e7,p1e7,,60C,0.5_glu,1,LAC,agrA_C123F_empty,3.2901000977
p1,e8,p1e8,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.6688001156
p1,e9,p1e9,,60C,0.5_glu,1,LAC,atl_KO_empty,2.0799000263
p1,e10,p1e10,,60C,0.5_glu,1,LAC,atl_KO_comp,3.1405000687
p1,e11,p1e11,,60C,0.5_glu,1,LAC,empty,0.1459999979
p1,f1,p1f1,,60C,0.5_glu,1,LAC,wt,2.7184000015
p1,f2,p1f2,,60C,0.5_glu,1,LAC,agrA_C123F_empty,2.9486999512
p1,f3,p1f3,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.3680000305
p1,f4,p1f4,,60C,0.5_glu,1,LAC,atl_KO_empty,1.7190999985
p1,f5,p1f5,,60C,0.5_glu,1,LAC,atl_KO_comp,2.7802000046
p1,f6,p1f6,,60C,0.5_glu,1,LAC,wt,2.0460000038
p1,f7,p1f7,,60C,0.5_glu,1,LAC,agrA_C123F_empty,3.1440999508
p1,f8,p1f8,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.5158998966
p1,f9,p1f9,,60C,0.5_glu,1,LAC,atl_KO_empty,2.1240999699
p1,f10,p1f10,,60C,0.5_glu,1,LAC,atl_KO_comp,3.141299963
p1,f11,p1f11,,60C,0.5_glu,1,LAC,empty,0.1536999941
p1,g1,p1g1,,60C,0.5_glu,1,LAC,wt,2.8366000652
p1,g2,p1g2,,60C,0.5_glu,1,LAC,agrA_C123F_empty,3.048500061
p1,g3,p1g3,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.4625000954
p1,g4,p1g4,,60C,0.5_glu,1,LAC,atl_KO_empty,1.8799999952
p1,g5,p1g5,,60C,0.5_glu,1,LAC,atl_KO_comp,2.6034998894
p1,g6,p1g6,,60C,0.5_glu,1,LAC,wt,2.5471000671
p1,g7,p1g7,,60C,0.5_glu,1,LAC,agrA_C123F_empty,3.3085000515
p1,g8,p1g8,,60C,0.5_glu,1,LAC,agrA_C123F_comp20,2.5209000111
p1,g9,p1g9,,60C,0.5_glu,1,LAC,atl_KO_empty,2.5457999706
p1,g10,p1g10,,60C,0.5_glu,1,LAC,atl_KO_comp,3.5615999699
p1,g11,p1g11,,60C,0.5_glu,1,LAC,empty,0.150000006
p2,b1,p2b1,0.01_FBS,60C,,1,LAC,wt,1.2656999826
p2,b2,p2b2,0.01_FBS,60C,,1,LAC,agrA_C123F_empty,2.0320999622
p2,b3,p2b3,0.01_FBS,60C,,1,LAC,agrA_C123F_comp20,1.2526999712
p2,b4,p2b4,0.01_FBS,60C,,1,LAC,atl_KO_empty,1.4421000481
p2,b5,p2b5,0.01_FBS,60C,,1,LAC,atl_KO_comp,1.0117000341
p2,b6,p2b6,0.01_FBS,60C,,1,LAC,wt,1.2347999811
p2,b7,p2b7,0.01_FBS,60C,,1,LAC,agrA_C123F_empty,2.2097001076
p2,b8,p2b8,0.01_FBS,60C,,1,LAC,agrA_C123F_comp20,1.2134000063
p2,b9,p2b9,0.01_FBS,60C,,1,LAC,atl_KO_empty,1.3250999451
p2,b10,p2b10,0.01_FBS,60C,,1,LAC,atl_KO_comp,0.9277999997
p2,b11,p2b11,0.01_FBS,60C,,1,LAC,empty,0.1401000023
p2,c1,p2c1,0.01_FBS,60C,,1,LAC,wt,0.8054999709
p2,c2,p2c2,0.01_FBS,60C,,1,LAC,agrA_C123F_empty,1.6088000536
p2,c3,p2c3,0.01_FBS,60C,,1,LAC,agrA_C123F_comp20,0.9689000249
