plate,well,location,media,O2,sample_strain,sample_id,OD
p1,b1,p1b1,M9,anaerobic,empty,,0.166
p1,b2,p1b2,M9,anaerobic,LAC,wt,0.499
p1,b3,p1b3,M9,anaerobic,LAC,agrA_C123F_empty,0.404
p1,b4,p1b4,M9,anaerobic,LAC,agrA_C123F_20,0.519
p1,b5,p1b5,M9,anaerobic,22251,empty,0.345
p1,b6,p1b6,M9,anaerobic,22251,20,0.37
p1,b7,p1b7,M9,anaerobic,Newman,wt,0.517
p1,b8,p1b8,M9,anaerobic,Newman,agrA::erm_empty,0.455
p1,b9,p1b9,M9,anaerobic,Newman,agrA::erm_20,0.498
p1,b10,p1b10,M9,anaerobic,LAC,atl_KO_empty,0.232
p1,b11,p1b11,M9,anaerobic,LAC,atl_KO_comp,0.789
p1,c1,p1c1,M9,anaerobic,empty,,0.15
p1,c2,p1c2,M9,anaerobic,LAC,wt,0.459
p1,c3,p1c3,M9,anaerobic,LAC,agrA_C123F_empty,0.344
p1,c4,p1c4,M9,anaerobic,LAC,agrA_C123F_20,0.422
p1,c5,p1c5,M9,anaerobic,22251,empty,0.321
p1,c6,p1c6,M9,anaerobic,22251,20,0.423
p1,c7,p1c7,M9,anaerobic,Newman,wt,0.358
p1,c8,p1c8,M9,anaerobic,Newman,agrA::erm_empty,0.319
p1,c9,p1c9,M9,anaerobic,Newman,agrA::erm_20,0.481
p1,c10,p1c10,M9,anaerobic,LAC,atl_KO_empty,0.229
p1,c11,p1c11,M9,anaerobic,LAC,atl_KO_comp,0.714
p1,d1,p1d1,M9,anaerobic,empty,,0.163
p1,d2,p1d2,M9,anaerobic,LAC,wt,0.484
p1,d3,p1d3,M9,anaerobic,LAC,agrA_C123F_empty,0.331
p1,d4,p1d4,M9,anaerobic,LAC,agrA_C123F_20,0.448
p1,d5,p1d5,M9,anaerobic,22251,empty,0.316
p1,d6,p1d6,M9,anaerobic,22251,20,0.443
p1,d7,p1d7,M9,anaerobic,Newman,wt,0.362
p1,d8,p1d8,M9,anaerobic,Newman,agrA::erm_empty,0.347
p1,d9,p1d9,M9,anaerobic,Newman,agrA::erm_20,0.473
p1,d10,p1d10,M9,anaerobic,LAC,atl_KO_empty,0.213
p1,d11,p1d11,M9,anaerobic,LAC,atl_KO_comp,0.581
p1,e1,p1e1,M9,anaerobic,empty,,0.137
p1,e2,p1e2,M9,anaerobic,LAC,wt,0.516
p1,e3,p1e3,M9,anaerobic,LAC,agrA_C123F_empty,0.326
p1,e4,p1e4,M9,anaerobic,LAC,agrA_C123F_20,0.431
p1,e5,p1e5,M9,anaerobic,22251,empty,0.351
p1,e6,p1e6,M9,anaerobic,22251,20,0.427
p1,e7,p1e7,M9,anaerobic,Newman,wt,0.356
p1,e8,p1e8,M9,anaerobic,Newman,agrA::erm_empty,0.375
p1,e9,p1e9,M9,anaerobic,Newman,agrA::erm_20,0.418
p1,e10,p1e10,M9,anaerobic,LAC,atl_KO_empty,0.223
p1,e11,p1e11,M9,anaerobic,LAC,atl_KO_comp,0.587
p1,f1,p1f1,M9,anaerobic,empty,,0.148
p1,f2,p1f2,M9,anaerobic,LAC,wt,0.634
