plate,well,location,media,drop,dilution,O2,sample_strain,sample_id,OD,date
p1,b1,p1b1,TSB,F,0.1,aerobic,empty,,0.1254000068,160508
p1,b2,p1b2,TSB,F,0.1,aerobic,LAC,wt,1.3466000557,160508
p1,b3,p1b3,TSB,F,0.1,aerobic,LAC,agrA_C123F_empty,2.6670999527,160508
p1,b4,p1b4,TSB,F,0.1,aerobic,LAC,agrA_C123F_20,1.3217999935,160508
p1,b5,p1b5,TSB,F,0.1,aerobic,LAC,srtA_erm_empty,3.2095000744,160508
p1,b6,p1b6,TSB,F,0.1,aerobic,LAC,srtA_erm_comp,3.2730998993,160508
p1,b7,p1b7,TSB,F,0.1,aerobic,LAC,atl_KO_empty,1.2127000093,160508
p1,b8,p1b8,TSB,F,0.1,aerobic,LAC,atl_KO_comp,2.769299984,160508
p1,b9,p1b9,TSB,true,0.1,aerobic,LAC,icaA_erm_empty,0.0482000001,160508
p1,b10,p1b10,TSB,true,0.1,aerobic,LAC,ica_erm_comp,0.7232999802,160508
p1,b11,p1b11,TSB,F,0.1,aerobic,22251,empty,1.3980000019,160508
p1,b12,p1b12,TSB,F,0.1,aerobic,22251,comp,1.4258999825,160508
p1,c1,p1c1,TSB,F,0.1,aerobic,empty,,0.1103999987,160508
p1,c2,p1c2,TSB,F,0.1,aerobic,LAC,wt,1.5140000582,160508
p1,c3,p1c3,TSB,F,0.1,aerobic,LAC,agrA_C123F_empty,2.4774999619,160508
p1,c4,p1c4,TSB,F,0.1,aerobic,LAC,agrA_C123F_20,1.7043999434,160508
p1,c5,p1c5,TSB,F,0.1,aerobic,LAC,srtA_erm_empty,3.6308999062,160508
p1,c6,p1c6,TSB,F,0.1,aerobic,LAC,srtA_erm_comp,3.743999958,160508
p1,c7,p1c7,TSB,F,0.1,aerobic,LAC,atl_KO_empty,1.7482999563,160508
p1,c8,p1c8,TSB,F,0.1,aerobic,LAC,atl_KO_comp,3.0727000237,160508
p1,c9,p1c9,TSB,F,0.1,aerobic,LAC,icaA_erm_empty,1.0939999819,160508
p1,c10,p1c10,TSB,F,0.1,aerobic,LAC,ica_erm_comp,1.4571000338,160508
p1,c11,p1c11,TSB,true,0.1,aerobic,22251,empty,0.1907999963,160508
p1,c12,p1c12,TSB,F,0.1,aerobic,22251,comp,1.4558000565,160508
p1,d1,p1d1,TSB,F,0.1,aerobic,empty,,0.1112999991,160508
p1,d2,p1d2,TSB,F,0.1,aerobic,LAC,wt,1.736899972,160508
p1,d3,p1d3,TSB,F,0.1,aerobic,LAC,agrA_C123F_empty,2.4179999828,160508
p1,d4,p1d4,TSB,F,0.1,aerobic,LAC,agrA_C123F_20,1.692999959,160508
p1,d5,p1d5,TSB,F,0.1,aerobic,LAC,srtA_erm_empty,3.5683000088,160508
p1,d6,p1d6,TSB,F,0.1,aerobic,LAC,srtA_erm_comp,3.7676999569,160508
p1,d7,p1d7,TSB,F,0.1,aerobic,LAC,atl_KO_empty,1.2833000422,160508
p1,d8,p1d8,TSB,F,0.1,aerobic,LAC,atl_KO_comp,2.7997000217,160508
p1,d9,p1d9,TSB,F,0.1,aerobic,LAC,icaA_erm_empty,1.154399991,160508
p1,d10,p1d10,TSB,F,0.1,aerobic,LAC,ica_erm_comp,1.4974999428,160508
p1,d11,p1d11,TSB,F,0.1,aerobic,22251,empty,1.1789000034,160508
p1,d12,p1d12,TSB,F,0.1,aerobic,22251,comp,1.4772000313,160508
p1,e1,p1e1,TSB,F,0.1,aerobic,empty,,0.1229000017,160508
p1,e2,p1e2,TSB,F,0.1,aerobic,LAC,wt,1.1744999886,160508
p1,e3,p1e3,TSB,F,0.1,aerobic,LAC,agrA_C123F_empty,2.6315000057,160508
p1,e4,p1e4,TSB,F,0.1,aerobic,LAC,agrA_C123F_20,1.7666000128,160508
p1,e5,p1e5,TSB,F,0.1,aerobic,LAC,srtA_erm_empty,3.5750000477,160508
p1,e6,p1e6,TSB,F,0.1,aerobic,LAC,srtA_erm_comp,3.8661999702,160508
p1,e7,p1e7,TSB,F,0.1,aerobic,LAC,atl_KO_empty,1.935199976,160508
p1,e8,p1e8,TSB,F,0.1,aerobic,LAC,atl_KO_comp,2.9944000244,160508
p1,e9,p1e9,TSB,F,0.1,aerobic,LAC,icaA_erm_empty,1.1819000244,160508
