#"merged for figure"
#"date: date of D0 of the experimental run"
#"notes: comment about the data point; agar denotes TSB plated tests; OD660_x:y denotes the harvest OD x and the diluted OD y; double denotes two 3uL drops merged; mix denotes one 3uL drop merged with the control drop; infected denotes the media was cloudy; visible denotes colonys can be seen by naked eye easily"
#"timepoint: hours elapsed from T0 before sample was taken"
#"sample_strain: strain or species of bacteria"
#"sample_id: other identifcation of bacteria"
#"count: number of colonies counted in a 10uL plated drop"
#"dilution: x10 fold dilution 20uL in 180uL; if blank denotes 3uL drop representing total exposure amount"
date,notes,timepoint,sample_strain,sample_id,count,dilution
160330,OD660_0.498,0,LAC,wt,,
160330,OD660_0.55,0,LAC,agrA_C123F,,
160330,OD660_0.429,0,LAC,agrA_C123F_comp-20,,
160330,OD660_0.443,0,LAC,agrA_C123F_comp-P2min,,
160330,agar,0,LAC,wt,24,
160330,agar,0,LAC,wt,20,
160330,agar,0,LAC,wt,25,
160330,agar,0,LAC,wt,21,
160330,agar,0,LAC,wt,16,
160330,agar,0,LAC,wt,20,
160330,agar,0,LAC,wt,25,
160330,agar,0,LAC,wt,27,
160330,agar_stock,0,LAC,wt,5,1
160330,agar_stock,0,LAC,wt,12,5
160330,agar,0,LAC,agrA_C123F_comp-20,18,
160330,agar,0,LAC,agrA_C123F_comp-20,25,
160330,agar,0,LAC,agrA_C123F_comp-20,21,
160330,agar,0,LAC,agrA_C123F_comp-20,31,
160330,agar,0,LAC,agrA_C123F_comp-20,15,
160330,agar,0,LAC,agrA_C123F_comp-20,19,
160330,agar,0,LAC,agrA_C123F_comp-20,25,
160330,agar,0,LAC,agrA_C123F_comp-20,21,
160330,agar_stock,0,LAC,agrA_C123F_comp-20,5,1
160330,agar_stock,0,LAC,agrA_C123F_comp-20,18,5
160330,agar,0,LAC,agrA_C123F_empty,9,
160330,agar,0,LAC,agrA_C123F_empty,15,
160330,agar,0,LAC,agrA_C123F_empty,16,
160330,agar,0,LAC,agrA_C123F_empty,22,
160330,agar,0,LAC,agrA_C123F_empty,26,
160330,agar,0,LAC,agrA_C123F_empty,15,
160330,agar,0,LAC,agrA_C123F_empty,12,
160330,agar,0,LAC,agrA_C123F_empty,21,
160330,agar_stock,0,LAC,agrA_C123F_empty,3,1
160330,agar_stock,0,LAC,agrA_C123F_empty,15,5
160330,agar,0,LAC,agrA_C123F_comp-P2min,21,
160330,agar,0,LAC,agrA_C123F_comp-P2min,19,
160330,agar,0,LAC,agrA_C123F_comp-P2min,25,
160330,agar,0,LAC,agrA_C123F_comp-P2min,23,
160330,agar,0,LAC,agrA_C123F_comp-P2min,17,
160330,agar,0,LAC,agrA_C123F_comp-P2min,34,
160330,agar,0,LAC,agrA_C123F_comp-P2min,23,
160330,agar,0,LAC,agrA_C123F_comp-P2min,26,
160330,agar_stock,0,LAC,agrA_C123F_comp-P2min,7,1
160330,agar_stock,0,LAC,agrA_C123F_comp-P2min,18,5
160330,infected,24,LAC,wt,,
160330,infected,24,LAC,wt,,
160330,infected,24,LAC,agrA_C123F_comp-20,,
160330,infected,24,LAC,agrA_C123F_comp-P2min,,
160330,infected,48,LAC,agrA_C123F_comp-P2min,,
160330,infected,48,LAC,agrA_C123F_comp-P2min,,
160330,infected,72,LAC,wt,,
160330,infected,72,LAC,wt,,
160330,infected,72,LAC,wt,,
160330,double,72,LAC,wt,28,5
160330,,72,LAC,wt,13,5
160330,,72,LAC,wt,12,5
160330,,72,LAC,wt,15,5
160330,,72,LAC,wt,16,5
160330,,72,LAC,wt,12,5
160330,infected,72,LAC,agrA_C123F_comp-20,,
160330,infected,72,LAC,agrA_C123F_comp-20,,
160330,,72,LAC,agrA_C123F_comp-20,20,5
160330,,72,LAC,agrA_C123F_comp-20,20,5
160330,,72,LAC,agrA_C123F_comp-20,17,5
160330,,72,LAC,agrA_C123F_comp-20,15,5
160330,double,72,LAC,agrA_C123F_empty,41,4
160330,,72,LAC,agrA_C123F_empty,27,4
