#"merging mutants for a figure"
#"notes: comment about the data point; agar denotes TSB plated tests; OD660_x:y denotes the harvest OD x and the diluted OD y; double denotes two 3uL drops merged; mix denotes one 3uL drop merged with the control drop; infected denotes the media was cloudy; visible denotes colonys can be seen by naked eye easily"
#"timepoint: hours elapsed from T0 before sample was taken"
#"sample_strain: strain or species of bacteria"
#"sample_id: other identifcation of bacteria"
#"count: number of colonies counted in a 10uL plated drop"
#"dilution: x10 fold dilution 20uL in 180uL; if blank denotes 3uL drop representing total exposure amount"
date,notes,timepoint,sample_strain,sample_id,count,dilution
150507,double,72,LAC,wt,20,6
150507,,72,LAC,wt,19,5
150507,,72,LAC,wt,8,5
150507,,72,LAC,wt,3,6
150507,,72,LAC,wt,7,5
150507,,72,LAC,srtA_KO,10,5
150507,,72,LAC,srtA_KO,11,5
150507,,72,LAC,srtA_KO,8,5
150507,,72,LAC,srtA_KO,8,5
150507,,72,LAC,srtA_KO,7,5
150507,,72,LAC,srtA_KO,15,5
150507,,72,LAC,srtA_KO,22,5
150507,,72,LAC,agrA_KO,7,6
150507,,72,LAC,agrA_KO,23,4
150507,,72,LAC,agrA_KO,18,4
150507,,72,LAC,agrA_KO,32,4
150507,,72,LAC,agrA_KO,4,5
150507,,72,LAC,agrA_KO,6,5
150507,,120,LAC,agrA_KO,4,5
150507,,120,LAC,agrA_KO,8,5
150507,,120,LAC,agrA_KO,30,4
150507,,120,LAC,agrA_KO,6,5
150507,,120,LAC,agrA_KO,7,5
150507,,120,LAC,agrA_KO,23,4
150507,,120,LAC,srtA_KO,21,5
150507,,120,LAC,srtA_KO,22,5
150507,,120,LAC,srtA_KO,15,5
150507,,120,LAC,srtA_KO,23,5
150507,,120,LAC,srtA_KO,15,5
150507,,120,LAC,srtA_KO,16,5
150507,,120,LAC,srtA_KO,19,5
150507,,120,LAC,wt,4,6
150507,,120,LAC,wt,6,6
150507,,120,LAC,wt,20,5
150507,,120,LAC,wt,12,5
150507,,120,LAC,wt,8,6
150507,,120,LAC,wt,5,6
150516,,72,LAC,wt,7,5
150516,,72,LAC,wt,9,6
150516,,72,LAC,wt,12,5
150516,,72,LAC,wt,7,5
150516,,72,LAC,wt,12,5
150516,,72,LAC,agrA_KO,16,4
150516,,72,LAC,agrA_KO,27,4
150516,,72,LAC,agrA_KO,8,4
150516,,72,LAC,agrA_KO,12,4
150516,,72,LAC,agrA_KO,21,4
150516,,72,LAC,srtA_KO,2,5
150516,,72,LAC,srtA_KO,5,5
150516,,72,LAC,srtA_KO,5,5
150516,,72,LAC,srtA_KO,9,5
150516,,72,LAC,srtA_KO,8,5
150516,,72,LAC,srtA_KO,9,5
150516,,120,LAC,srtA_KO,4,5
150516,,120,LAC,srtA_KO,12,5
150516,,120,LAC,srtA_KO,20,5
150516,,120,LAC,srtA_KO,11,5
150516,,120,LAC,srtA_KO,14,5
150516,,120,LAC,agrA_KO,8,5
150516,,120,LAC,agrA_KO,5,4
150516,,120,LAC,agrA_KO,19,4
150516,,120,LAC,agrA_KO,11,4
150516,,120,LAC,agrA_KO,18,4
151122,infected_double,72,LAC,wt,35,4
151122,double,72,LAC,wt,38,4
151122,,72,LAC,wt,5,4
151122,,72,LAC,wt,11,4
151122,,72,LAC,wt,17,4
151122,,72,LAC,wt,9,4
151122,mix,72,LAC,agrA_KO,3,4
151122,,72,LAC,agrA_KO,3,4
151122,,72,LAC,agrA_KO,5,2
151122,,72,LAC,agrA_KO,7,4
151122,,72,LAC,agrA_KO,1,4
151122,,72,LAC,agrA_KO,9,4
151122,,120,LAC,wt,14,4
151122,,120,LAC,wt,1,5
151122,,120,LAC,wt,24,4
151122,,120,LAC,wt,7,5
151122,,120,LAC,wt,5,5
151122,,120,LAC,agrA_KO,16,4
151122,,120,LAC,agrA_KO,11,4
151122,,120,LAC,agrA_KO,18,4
151122,,120,LAC,agrA_KO,7,4
151122,,120,LAC,agrA_KO,17,4
151122,,120,LAC,agrA_KO,10,4
160209,,72,LAC,wt,12,5
